file_name,transcription
ARA NORM 00137.wav,اليوزك الامريكي اللي هو كان شغال تقريبا
ARA NORM 00138.wav,بنفس الطريقه اللي شغال بيها التيك توك
ARA NORM 00139.wav,خد التطبيق ده بخوارزميات وبيانات
ARA NORM 00140.wav,المستخدمين بتوعه بكل حاجته
ARA NORM 00141.wav,وبعدين أعادوا إطلاقه باسم التيك توك
ARA NORM 00142.wav,ومن هنا ظهر تيك توك اللي انتو تعرفوه
ARA NORM 00143.wav,تعرف ايه قصه وحكايه التيك توك
ARA NORM 00144.wav,وتشوف الصينيين ازاي بيتعاملوا مع بيانات
ARA NORM 00145.wav,للتطبيق وقتها
ARA NORM 00146.wav,ومن ساعتها و تيب توب عليه العين
ARA NORM 00147.wav,وصناع القرار في واشنطن قاعدين مركزين
ARA NORM 00148.wav,مع التطبيق ده
ARA NORM 00149.wav,المهم تشان جي مان مؤسس بايدانس
ARA NORM 00150.wav,كان عاوز يخلص من وجع الدماغ
ARA NORM 00151.wav,وعلشان كدا فكر للحظة إنه يبيع  ⁇
ARA NORM 00152.wav,الامريكيين
ARA NORM 00153.wav,وفي اللحظة دي الحكومة الصينية اتدخلت
ARA NORM 00154.wav,علشان تمنع صفقة الاستحواس دي إنها تتم
ARA NORM 00155.wav,وقامت عامله حركة ذكية جدا
ARA NORM 00156.wav,وهي انها اضافت الخوارزميات اللي قايم عليها
ARA NORM 00157.wav,تطبيق تيك توك لقائمه الصادرات
ARA NORM 00158.wav,التكنولوجيا المحظور تصديرها الا بامر
ARA NORM 00159.wav,من الحكومة الصينية
ARA NORM 00160.wav,وفي نفس الوقت الحزب الشيوعي الحاكم
ARA NORM 00161.wav,بعت رسالة لأصحاب الشركة هزرهم فيها
ARA NORM 00162.wav,من انهم يفكروا في بيع التطبيع
ARA NORM 00163.wav,واشنطن بوست الامريكية نقلت عن أحد
ARA NORM 00164.wav,مصادرها ان الحكومه الصينيه معندهاش
ARA NORM 00165.wav,المشكله ان الشركه الصينيه تموت
ARA NORM 00166.wav,وتنتهي ولا إنها تبيع التطبيق للأمريكيين
ARA NORM 00167.wav,باختصار الصينيين بيقولوا الامريكيين دمروا
ARA NORM 00168.wav,التيك توك بس مش حنبيعوا ليكم
ARA NORM 00169.wav,ودا ببساطة لأنهم مش عاوزين الأمريكيين
ARA NORM 00170.wav,يحطوا ايدهم على الخوارزميات اللي قايم عليه
ARA NORM 00171.wav,لا تطبيع
ARA NORM 00172.wav,واللي بيعتبروها انجاز وطني و احد جواهر
ARA NORM 00173.wav,تاج قطاع التكنولوجيا الصيني
ARA NORM 00174.wav,وهنا ضروري نقف ونسال سؤال مهم جدا
ARA NORM 00175.wav,مافيش تطبيق او برنامج في التاريخ كله
ARA NORM 00176.wav,اتعرض لنفس الهجوم اللي اتعرض له
ARA NORM 00177.wav,تيك توك في واشنطن
ARA NORM 00178.wav,ليه الامريكانوا تحديدا صناع القرار سواء
ARA NORM 00179.wav,السياسي او الامني خايفين اوي
ARA NORM 00180.wav,للدرجه دي من التطبيق دهجموها
ARA NORM 00181.wav,بالشكل دا
ARA NORM 00182.wav,بصوا يا جماعة شبكة الإنترنت من يوم
ARA NORM 00183.wav,لما طلعت في القرن اللي فات واللي بيسيطر
ARA NORM 00184.wav,عليها شركات امريكيه فقط
ARA NORM 00185.wav,حتى مفيش شركات أوروبية
ARA NORM 00186.wav,والوضع ده مستمر لحد النهارده
ARA NORM 00187.wav,يعني لو بصيت على شبكه الانترنت دلوقتي
ARA NORM 00188.wav,هنلاقيها ببساطة عبارة عن جوجل وجوجل ستور
ARA NORM 00189.wav,اندرويد بتاع شركه الفابيت الامريكيه
ARA NORM 00190.wav,و فيسبوك وانستجرام واتساب بتوع ميتال
ARA NORM 00191.wav,الامريكيه
ARA NORM 00192.wav,وابستور بتاع ابل الامريكيه
ARA NORM 00193.wav,وأمازون دوت كوم بتاع أمازون الأمريكية
ARA NORM 00194.wav,وتويتر بتاع تويتر إنك الأمريكية
ARA NORM 00195.wav,وال ⁇  بتاع السناب انك الامريكيه
ARA NORM 00196.wav,بالإضافة طبعاً لعملاق البرمجيات الأمريكي
ARA NORM 00197.wav,مايكروفت
ARA NORM 00198.wav,مش هو ده الانترنت
ARA NORM 00199.wav,ومش هي دي الشركات اللي اي مستخدم
ARA NORM 00200.wav,للانترنت بيتعامل مع اغلبها بشكل
ARA NORM 00201.wav,يومي وبتساهم بشكل ما في تشكيل وعيه
ARA NORM 00202.wav,ثقافته
ARA NORM 00203.wav,النهارده بقى احنا قدام وضع جديد
ARA NORM 00204.wav,لأول مرة في التاريخ شركة غير أمريكية
ARA NORM 00205.wav,تخترق السيطره الامريكيه على الانترنت
ARA NORM 00206.wav,علشان تلعب دور كبير في تشكيل الوعي العام
ARA NORM 00207.wav,مش للشعب الامريكي بس وانما للعالم كله
ARA NORM 00208.wav,وده من خلال تطبيق بسيط جدا يمكن كتير
ARA NORM 00209.wav,منكم يشوفه تافه هو تطبيق تيك توك
ARA NORM 00210.wav,لو جينا نبص علي اكتر الدوله
ARA NORM 00211.wav,اللي فيها عدد كبير من مستخدمي التطبيق الصيني
ARA NORM 00212.wav,اعتبارا من ابريل اللي فات
ARA NORM 00213.wav,حنلاقي الولايات المتحدة في المقدمة
ARA NORM 00214.wav,واخيرا في المركز العاشر
ARA NORM 00215.wav,هنا بقى في الوطن العربي
ARA NORM 00216.wav,هنلاقي المملكة العربية السعودية
ARA NORM 00217.wav,بتتصدر الترتيب
ARA NORM 00218.wav,وراها على طول مصر
ARA NORM 00219.wav,إجمالا بقى التيك توك النهارده له أكتر من مليار
ARA NORM 00220.wav,مستخدم ناشط في العالم شهريا
ARA NORM 00221.wav,وده عدد ضخم جدا من المستخدمين
ARA NORM 00222.wav,مفيش تطبيق غير امريكي بيملكه
ARA NORM 00223.wav,تيك توك
ARA NORM 00224.wav,ومن سوء حظ الامريكيين هو إن اللي بيملك
ARA NORM 00225.wav,التطبيق الشهير ده هي عدوهم
ARA NORM 00226.wav,وخصمهم اللادود
ARA NORM 00227.wav,الصيف
ARA NORM 00228.wav,وده اللي مقلقهم اكتر
ARA NORM 00229.wav,باختصار الإدارة قلقانة من احتمالية إن سيطرتها
ARA NORM 00230.wav,الحكومة الصينية على بيانات المستخدمين
ARA NORM 00231.wav,الامريكيين للتيك توك
ARA NORM 00232.wav,واستخدامها إما في توجيههم أو ابتزازهم
ARA NORM 00233.wav,أو في أغراض تانية
ARA NORM 00234.wav,يعني مشكله الامريكان الاساسيه مع
ARA NORM 00235.wav,تيك توك هي امتلاكها لبيانات ما يقر
ARA NORM 00236.wav,من نص الشعب الامريكي
ARA NORM 00237.wav,التشنج دي من مؤسس الشركه الام التيهيه
ARA NORM 00238.wav,بيقول ان شركته عمرها
ARA NORM 00239.wav,ما بعتت معلومات عن مستخدميها
ARA NORM 00240.wav,الامريكيين للسلطات الصينيه
ARA NORM 00241.wav,وبيأكد إن الحكومة الصينية عمرها ما طلبت
ARA NORM 00242.wav,منه طلب زي ده
ARA NORM 00243.wav,ولو طلبت انها تحصل على بيانات الأمريكيين
ARA NORM 00244.wav,فهما في الشركه عمرهم ما هيوافقوا
ARA NORM 00245.wav,لكن الامريكيين مش واثقين في كلامهم
ARA NORM 00246.wav,وشايفين ان تعهداته كوميديه وما تسواش حاجه
ARA NORM 00247.wav,لانه برايهم مافيش شخص معاه جواز سفر
ARA NORM 00248.wav,صيني يقدر يعصي امر الحكومه الصينيه
ARA NORM 00249.wav,وبالتالي بالنسبالهم كل الصينيين جواسيس
ARA NORM 00250.wav,محتملين سواء بمزاجهم أو أصبع منهم
ARA NORM 00251.wav,دا غير إن عندهم أسباب ما تخليهمش يافقوا
ARA NORM 00252.wav,شانج بالتحديد
ARA NORM 00253.wav,للحكومة الصينية بإنه هيساعدها في تعزيز
ARA NORM 00254.wav,القيم الأساسيه للحزب الشيوعي الحاج
ARA NORM 00255.wav,بالاضافه الى ان الحكومه الصينيه
ARA NORM 00256.wav,فت شركة تابعة ال ⁇   ⁇
ARA NORM 00257.wav,ومن خلال الصفقة دي بقى في ممثل
ARA NORM 00258.wav,النهارده للحكومة الصينية في مجلس اداره
ARA NORM 00259.wav,الشركه الام لتطبيق تيج توك
ARA NORM 00260.wav,وده اللي مخوف الامريكيين على بياناتهم
ARA NORM 00261.wav,المهم التيك توك كان بيحتفظ ببيانات
ARA NORM 00262.wav,المستخدمين الامريكيين بتوعه في سرات
ARA NORM 00263.wav,أو خوادم موجودة في فيرجينيا الأمريكية
ARA NORM 00264.wav,وفي نفس الوقت البيانات الموجودة على
ARA NORM 00265.wav,السرفارات دي كان معمول منها نص
ARA NORM 00266.wav,احتياطيه موجوده في سنرفارات
ARA NORM 00267.wav,التابعه للشركه الصينيه في سنغافوره
ARA NORM 00268.wav,في اليوم اللي فات بقى التيك توك اعلن
ARA NORM 00269.wav,انه نقل البيانات الخاصه بالمستخدمين
ARA NORM 00270.wav,الامريكيين لسرات او خوادم تابعه لشركه
ARA NORM 00271.wav,اوركل بيتكساس الامريكيه
ARA NORM 00272.wav,وقال كمان إن شركة أوركل الأمريكية
ARA NORM 00273.wav,هي نفسها اللي حتشرف على الخوادم دي
ARA NORM 00274.wav,وده في إطار مشروع اسمه
ARA NORM 00275.wav,ومش بس كده ده بيانات المستخدمين
ARA NORM 00276.wav,الامريكيين للتيك توك الموجوده على الخوادم
ARA NORM 00277.wav,القديمه بتاعت الشركه الصينيه في فيرجينيا
ARA NORM 00278.wav,وبس سنغافوره هيتم حذفها
ARA NORM 00279.wav,كل ده الصينيين عملوه بس علشان يرضى
ARA NORM 00280.wav,السلطات الامريكيه ويقنعوهم انهم يشيلوا
ARA NORM 00281.wav,الطيك طوك من دماغهم
ARA NORM 00282.wav,ولكن كل ده ماكانوش لازمة بالنسبة
ARA NORM 00283.wav,السلطات الامريكيه ولا فارق معاها ببصل
ARA NORM 00284.wav,طب ليه بقى
ARA NORM 00285.wav,باختصار المشكله مش مشكله السيرفراز
ARA NORM 00286.wav,أو مين اللي بيسيطر عليها
ARA NORM 00287.wav,عادي ما انت ممكن تيجي تحط السيرفرات
ARA NORM 00288.wav,في البيت الأبيض نفسه
ARA NORM 00289.wav,وفي نفس الوقت انت في الصين عندك
ARA NORM 00290.wav,القدره انك تدخل السيرفرارات دي وتوصل
ARA NORM 00291.wav,بسهوله لاي معلومه عليها
ARA NORM 00292.wav,وده اللي بيحصل بالفعل في حالة تيك توك
ARA NORM 00293.wav,الصينيين اه اتفقوا مع لجنة الاستثمار الأجنبي
ARA NORM 00294.wav,علي انهم حيحتفظوا ببيانات المستخدمين
ARA NORM 00295.wav,الامريكان المحميه زي ارقام الهواتف
ARA NORM 00296.wav,في تاريخ الميلاد في سلفارات اوريك
ARA NORM 00297.wav,الفيتاكس
ARA NORM 00298.wav,وحركة المستخدمين الأمريكيين للتيك توك
ARA NORM 00299.wav,بقت بتتم من خلال
ARA NORM 00300.wav,لكن في حين إن السرفارات اللي عليها
ARA NORM 00301.wav,بيانات موجوده في امريكا في حضن
ARA NORM 00302.wav,الامريكيين المعارضين
ARA NORM 00303.wav,موظفين في شركه بايد دانس في الصين
ARA NORM 00304.wav,بيعرفوا يوصلوا لكل حرف فيها بسهوله
ARA NORM 00305.wav,مايكل بيكرمان نائب رئيس تيك توك
ARA NORM 00306.wav,وكان قاعد في جلسه استماع قدام اعضاءه
ARA NORM 00307.wav,مجلس الشيوخ الامريكي
ARA NORM 00308.wav,وأثناء الجلسة حلف لهم إن في فريق
ARA NORM 00309.wav,امني عالمي على اعلى مستوى موجود
ARA NORM 00310.wav,في امريكا هو اللي بيحدد مين يقدر يوصل
ARA NORM 00311.wav,للمعلومات الموجوده على السيرف
ARA NORM 00312.wav,بتاع تيك توك في امريكا
ARA NORM 00313.wav,الكلام ده معناه ان موظفي الشركه الصينيه
ARA NORM 00314.wav,الموجودين في الصين ما يقدروش يوصلوا
ARA NORM 00315.wav,او يطلعوا على اي بيانات تخص المستخدمين
ARA NORM 00316.wav,من الامريكيين واللي محتفظ بيها على السرفارات
ARA NORM 00317.wav,فامريكا
ARA NORM 00318.wav,ده كلام حلو و مباشر جدا بس في مشكله واحده
ARA NORM 00319.wav,وهو ان بيكرمان كذب على اعضاء
ARA NORM 00320.wav,مجلس الشيوخ رغم انه كان تحت القصر
ARA NORM 00321.wav,وده بالمناسبه هو نفسه
ARA NORM 00322.wav,بس اليوم اللي تيك توك قال فيه ان
ARA NORM 00323.wav,احنا نقلنا بيانات الامريكيين ايسرفارات اوركل
ARA NORM 00324.wav,موقع باظفيد نيوز نشر تقرير قلب الرأي العام
ARA NORM 00325.wav,وزود حاله الغضب تجاه تيك توك
ARA NORM 00326.wav,في أمريكا
ARA NORM 00327.wav,التقرير بتاع بص في نشر خلاصه
ARA NORM 00328.wav,تسجيلات صوتية مسربة تخص أكتر
ARA NORM 00329.wav,ما بين المسؤولين هناك
ARA NORM 00330.wav,التيك توك اثناء الاجتماعات الداخليه
ARA NORM 00331.wav,ان مهندسين الشركه في الصين يقدروا
ARA NORM 00332.wav,ويوصلوا لبيانات المستخدمين الامريكيين
ARA NORM 00333.wav,وده حصل على الأقل وبشكل مؤكد
ARA NORM 00334.wav,أكتر من مرة في الفترة ما بين سبتمبر
ARA NORM 00335.wav,عضو في قسم الثقة والسلامة في تيب توك
ARA NORM 00336.wav,قال نصا لزمايله كل شيء يرى في الصين
ARA NORM 00337.wav,وفي اجتماع تاني حصل في نفس الشهر
ARA NORM 00338.wav,احد المديرين في تيك تو سكر اسمه
ARA NORM 00339.wav,اسمه مهندس مقيم في العاصمه في بيكي
ARA NORM 00340.wav,وقال ان المهندس ده مدير رئيسي عنده
ARA NORM 00341.wav,وصلاحيه الوصول لكل شيء في التيك توك
ARA NORM 00342.wav,وخد الكبيره بقى الفريق العالمي
ARA NORM 00343.wav,موجود في امريكا واللي بيكرمان
ARA NORM 00344.wav,معينين علشان يكون حارس على السخبارات
ARA NORM 00345.wav,وبيانات الامريكيين الموجوده داخلها
ARA NORM 00346.wav,بحسب التسريبات انه معندوش الاذن
ARA NORM 00347.wav,بالوصول لاي بيانات موجوده على سرات
ARA NORM 00348.wav,
ARA NORM 00349.wav,لو معاه الإذن فهو معندوش فكرة
ARA NORM 00350.wav,يوصل للبانات دي لوحدي
ARA NORM 00351.wav,لازم المهندسين الصينيين يرشدوا أعضاء
ARA NORM 00352.wav,الفريق ده ويعرفوهم ازاي يوصلوا للبيانات
ARA NORM 00353.wav,يعني من الاخر كدا الصينيين جايبين شوية
ARA NORM 00354.wav,مهندسين امريكيين مع عينانهم في امريكا
ARA NORM 00355.wav,وحاطينهم في الواجهة على ان دول هما
ARA NORM 00356.wav,بيتحكموا في سيرفارات التيك توك وبيحرسوها
ARA NORM 00357.wav,وبيمنعوا اي حد من الصين يدخل غير باذنهم
ARA NORM 00358.wav,في حين انه في الحقيقه الصينيين رافضيين
ARA NORM 00359.wav,يعلموهم السرفارات دي بتشتغل ازاي
ARA NORM 00360.wav,من ديانهم حتى الاذن انهم يتعاملوا معاه
ARA NORM 00361.wav,وبعيدا عن نقطة البيانات دي خالص
ARA NORM 00362.wav,هي مهمه لكن في النهايه الصينيين يقدروا
ARA NORM 00363.wav,ويحصلوا عليها ويشتروها بالفلوس من السوق
ARA NORM 00364.wav,من سماسره البيانات
ARA NORM 00365.wav,وفيسبوك وفضيحة كامبريدج اناليتيكا
ARA NORM 00366.wav,خالد
ARA NORM 00367.wav,اللي مخوف الأمريكان أكتر من تيك توك
ARA NORM 00368.wav,هو قدره التطبيق ده على تشكيل وعي
ARA NORM 00369.wav,المستخدمين بتوعهم
ARA NORM 00370.wav,واللي عددهم في امريكا بيقترب تقريبا
ARA NORM 00371.wav,من نص الشعب
ARA NORM 00372.wav,ده بيديله قدرة رهيبة على توجيه الراي العام
ARA NORM 00373.wav,التيك توك هو تقريبا اكتر تطبيق مشهور بين
ARA NORM 00374.wav,الجيل سد
ARA NORM 00375.wav,اللي هما الشباب الصغير المولدين في الفترة
ARA NORM 00376.wav,الشباب دول هما قادة أمريكا القادمين
ARA NORM 00377.wav,لو في حد فيكم جرب يدخل تيك توك
ARA NORM 00378.wav,قبل كده
ARA NORM 00379.wav,فاكيد لاحظ وجود صفحه اسمها
ARA NORM 00380.wav,
ARA NORM 00381.wav,ودي الصفحه اللي بتقترح لمستخدمي التطبيق
ARA NORM 00382.wav,فيديوهات هو شايف انها ممكن
ARA NORM 00383.wav,تاثير اهتمامك
ARA NORM 00384.wav,الصفحه دي بقى وراها خوارزميات جباره
ARA NORM 00385.wav,مهمتها تخلي الشاب من دول
ARA NORM 00386.wav,ساعد على التطبيق ده يقلب فيديو ورا فيديو لساعات
ARA NORM 00387.wav,بدون ما يذهب
ARA NORM 00388.wav,علشان كدا مشرعين امريكيين زي السنة
ARA NORM 00389.wav,كروز وصف التيك توك بانه حصان
ARA NORM 00390.wav,رواضة اللي الحزب الشيوعي بيستخدمه
ARA NORM 00391.wav,علشان ياثر من خلاله على الامريكان
ARA NORM 00392.wav,بيشوفوه ويسمعوه
ARA NORM 00393.wav,وبيتحكم من خلاله بالتبعيه في الطريقه
ARA NORM 00394.wav,اللي الامريكيين بيفكروا بيها
ARA NORM 00395.wav,ده هو سر الخوف الامريكيين من تيك توك
ARA NORM 00396.wav,فوق دماغه
ARA NORM 00397.wav,من شوية قلتلكم إن ترامب
ARA NORM 00398.wav,انه يبيع نفسه لشركه امريكيه
ARA NORM 00399.wav,وده طبعا ما حصلش والا ما كانش زمانا بنتكلم
ARA NORM 00400.wav,مع الموضوع ده دلوقتي
ARA NORM 00401.wav,طب ليه ما حصلش
ARA NORM 00402.wav,هاقولك
ARA NORM 00403.wav,أولا ترامب بعد ما أصدر القرار
ARA NORM 00404.wav,رجع تاني بعدها بكام يوم ومد المهله الزمنيه
ARA NORM 00405.wav,وبعدين جت المحاكم الأمريكية
ARA NORM 00406.wav,أصدرت حكمين ضد القرار التنفيذي بتاعه
ARA NORM 00407.wav,اللي يخص حظر تيك توك
ARA NORM 00408.wav,أول حكم صدر في سبتمبر بناءً على دعوة
ARA NORM 00409.wav,رفعها ال ⁇   ⁇  ضد الرئيس
ARA NORM 00410.wav,وتاني حكم صدر في ديسمبر من نفس السنة
ARA NORM 00411.wav,بناء على دعوة رفاعه عدد من المؤثرين
ARA NORM 00412.wav,على التطبيق اللي عندهم عدد متابعين كتير
ARA NORM 00413.wav,واللي قاله للمحكمه في واشنطن
ARA NORM 00414.wav,خرب أو قرار الحظر ده دخل حيز التنفيذ
ARA NORM 00415.wav,ومن ساعتها قررت ترامب بحظر التيب توك
ARA NORM 00416.wav,فملوش لازمه
ARA NORM 00417.wav,هو عامل كانه حكم مع وقف التنفيذ
ARA NORM 00418.wav,وفضل الوضع على الحال ده لحد ما جرى
ARA NORM 00419.wav,ولغى الامر التنفيذي الصادر عن ترامب
ARA NORM 00420.wav,بيخص حظ تيك توك
ARA NORM 00421.wav,واصدر بداله قرار تنفيذي جديد أمر من خلال
